question;transformed;true_answer;num_answers;source;context
In Sect. 4.2, we introduced a three-dimensional classification of activities of management of information systems. How would you describe the scope and tasks of the following activities of managing information systems? - Developing a strategic information management plan (e.g., this is related to strategic planning),;How would you describe the scope and tasks of the following activities of managing information systems: Developing a strategic information management plan;Developing a strategic information management plan: strategic planning;1;Book;
- Initiating projects from the strategic project portfolio,;How would you describe the scope and tasks of the following activities of managing information systems: Initiating projects from the strategic project portfolio;Initiating projects from the strategic project portfolio: strategic directing;1;Book;
- Collection and analysis of data from user surveys on their general satisfaction with the health information system,;How would you describe the scope and tasks of the following activities of managing information systems: Collection and analysis of data from user surveys on their general satisfaction with the health information system;Collecting and analyzing data from user surveys on their general health information system’s satisfaction: strategic monitoring;1;Book;
- Planning a project to select and introduce a new CPOE system,;How would you describe the scope and tasks of the following activities of managing information systems: Planning a project to select and introduce a new CPOE system;Planning a project to select and introduce a new CPOE system: tactical planning;1;Book;
- Executing work packages within an evaluation project of a CPOE system,;How would you describe the scope and tasks of the following activities of managing information systems: Executing work packages within an evaluation project of a CPOE system;Executing work packages within an evaluation project of a CPOE system: tactical directing;1;Book;
- Assessment of user satisfaction with a new intensive care system,;How would you describe the scope and tasks of the following activities of managing information systems: Assessment of user satisfaction with a new intensive care system;Assessment of user satisfaction with a new intensive care system: tactical monitoring;1;Book;
- Planning of a user service desk for a group of clinical application components,;How would you describe the scope and tasks of the following activities of managing information systems: Planning of a user service desk for a group of clinical application components;Planning of a user service desk for a group of clinical application components: operational planning;1;Book;
- Operation of a service desk for a group of clinical application components,;How would you describe the scope and tasks of the following activities of managing information systems: Operation of a service desk for a group of clinical application components;Operation of a service desk for a group of clinical application components: operational directing;1;Book;
- Daily monitoring of network availability and network failures.;How would you describe the scope and tasks of the following activities of managing information systems: Daily monitoring of network availability and network failures;Daily monitoring of network availability and network failures: operational monitoring;1;Book;
Definieren Sie den Begriff „Krankenhausinformationssystem“.;"Define the term ""hospital information system"".";A Hospital Information system is the socio-technical subsystem of for hospitals. It comprimises all data, information, and knowledge processing as well as the associated human or technical actors in their respective data, information, and knowledge processing roles.;1;IS_2020_07_18;
Auf einer Hersteller-Webseite heißt es: „i.s.h.med ist das einzige vollständig in SAP for Healthcare integrierte Krankenhausinformationssystem“. Welches Begriffsverständnis liegt hier zugrunde?;"On a manufacturer's website it says: ""i.s.h.med is the only hospital information system fully integrated in SAP for Healthcare"". What is the underlying understanding of this term?";This manufacturer sees the hospital information system as software product, while in reality a HIS includes Software, Hardware and Actors.;1;IS_2020_07_18;
Wie erhalten Apotheker:innen Zugriff auf verordnete eRezepte?;How do pharmacists get access to e-prescriptions?;Via the CPOE System within a hospital. Extern via their own pharmacists information system.;1;IS_2020_07_18;
Definieren Sie den Begriff „transinstitutionelles Gesundheitsinformationssystem“. Verwenden Sie dabei den Begriff des „Settings“.;"Define the term ""trans-institutional health information system"". Use the term ""setting"" for this purpose.";A transinstitutional health information system is the socio-technical subsystem which comprises all data, information, and knowledge processing as well as the associated human or technical actors in their respective data, information, and knowledge processing roles. It cdescribes the information system of a health care network, in which multiple Settings are present. Each setting is a context this information system is used in, for example in the stationary or ambulant care, but also rehabilitation or care of the elder.;1;IS_2020_09_27;
tHIS?;"Define the term ""tHIS"".";tHIS stands for transinstitutional health information system, an information system of a health care network which consists of multiple health care settings (contexts). It comprises all data, information, and knowledge processing as well as the associated human or technical actors in their respective data, information, and knowledge processing roles.;1;IS_2020_09_27;
Was ist ein Arztbrief?;What is a doctor's letter?;A doctor's letter is a transfer document for communication between doctors. It is a form of information for the referring doctor, who has arranged for a referral to a hospital or other medical treatment in the outpatient sector or for the further treating doctor who takes over the further treatment. The doctor's letter provides a summary overview of the patient's status at dicharge, a review of the course of the disease, the thearpy initiated, an interpretation of the events related to the course of the disease in the specific case, information on the classification of the diease according to ICD, OPS, ICF and possibly also DRG and recommendations for continuing therapy.;1;IS_2020_09_27;
Was ist openEHR;What is openEHR?;"openEHR is an open standard specification in health informatics that describes the management and storage, retrieval and exchange of health data in electronic health records (EHRs). In openHER, all health data for a person is stored in a ""one lifetime"", vendor-independent, person-centred EHR. It is completely model-driven, and separates domain semantics out from software, into models created by domain professionals.";1;IS_2020_09_27;
Was ist ein Archetype?;What is an archetype in the context of health information systems?;An archetype is a formal specification of a clinical concept that can be used to create interoperable and resuable electronic health records. Archetypoes are designed to be independent of any specific EHR system and are intended to be used as building blocks for EHRs.;1;IS_2020_09_27;
Ist openEHR ein Standard?;Is openEHR a standard?;Yes, openEHR is an open standard specification in health informatics that describes the management and storage, retrieval and exchange of health data in electronic health records.;1;IS_2020_09_27;
Könnte man mit Hilfe von openEHR eine (DB1, ACn, Vn)-Architektur realisieren?;Could one realise a DB^1, AC^n, V^n architecture with the help of openEHR?;Yes;1;IS_2020_09_27;
Was ist ein Modell?;What is a model in the context of health information systems?;A model is a representation of a system or process that is used to help understand and predict the behavor of the system or process. Health information systems models can be used to help design and evaluate health information systems. They can also beused to help identify areas for improvement in health information systems.;1;IS_2020_09_27;
Wann ist ein Modell gut?;When is a model good in the context of health information systems?;A good models should be able to help understand and predict the behavior of the system or process. It should also be able to help design and evaluate health information systems. A reference architecture can be used to support the design of a proper HIS architecture that meets the various stakeholder concerns of HISs. This architecture should be able to show the HIS from a different angle, suitable for various stakeholders.;1;IS_2020_09_27;
Was ist ARIS?;What is ARIS?;The Architecture of Integrated Information Systems is a framework for describing business processes. It provides modeling methods and meta-structures that are comprised in information models.;1;IS_2020_09_27;
Wie kann man dynamische Aspekte von IS modellieren?;How can dynamic aspects of Information Systems be modelled?;With a Business Process Model such as BPMN;1;IS_2020_09_27;
Was ist IHE?;What is IHE?;IHE stands for Integrating the Healthcare Enterprise. It is an initiative by healthcare professionals and industry to improve the way computer systems in healthcare share information. IHE promotes the coordinated use of established standards such as DICOM and HL7 to address specific clinical needs in support of optimal patient care;1;IS_2020_09_27;
Was tut ein Kommunikationsserver?;What does a communication server do  in the context of health information systems?;A communication server in the context of health information systems is a server that enables communication between different systems. It is responsible for routing messages between different applications and systems. It can also be used to manage the flow of data between different systems.;1;IS_2020_09_27;
