user,status,count
ml796thu,PD,53
ms558xza,PD,29
ip225hfa,PD,5
cm308wco,PD,4
kb833sze,PD,1
ak465bro,PD,1
mt692hzo,PD,1
lx684qru,PD,1
di328kep,PD,1
pl788pwi,PD,1
ky758zce,PD,1
di328kep,R,89
ms558xza,R,49
kb833sze,R,19
ti206dap,R,6
be691det,R,5
aw310vdu,R,4
ml796thu,R,3
cm308wco,R,2
pz192nij,R,2
nz559nsi,R,2
mi820jym,R,1
ro412kza,R,1
ji165tje,R,1
mf282ddu,R,1
ky317kcu,R,1
lu808xew,R,1
gi262rdy,R,1
as612gri,R,1
ob047bpo,R,1
je188blo,R,1
su832kyv,R,1
lu548pac,R,1
hq634gij,R,1
mg297bgy,R,1
ky758zce,R,1
kt501gqi,R,1
