             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
2986189_[204-1920]     clara Elps_All kb833sze PD       0:00      1 (Resources)
           2937298     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937297     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937296     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937295     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937294     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937293     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937292     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937291     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937290     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937289     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937288     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937287     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937286     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937285     clara        0 ml796thu PD       0:00      1 (Dependency)
           2937284     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932724     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932723     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932722     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932721     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932720     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932719     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932718     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932717     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932716     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932715     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932714     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932713     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932712     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932711     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932518     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932517     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932516     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932515     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932514     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932513     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932512     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932511     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932510     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932509     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932508     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932507     clara        0 ml796thu PD       0:00      1 (Dependency)
           2932506     clara        0 ml796thu PD       0:00      1 (Dependency)
           2930436     clara        0 ml796thu PD       0:00      1 (Dependency)
           2930435     clara        0 ml796thu PD       0:00      1 (Dependency)
           2930434     clara        0 ml796thu PD       0:00      1 (Dependency)
           2930424     clara        0 ml796thu PD       0:00      1 (Dependency)
           2930423     clara        0 ml796thu PD       0:00      1 (Dependency)
           2930422     clara        0 ml796thu PD       0:00      1 (Dependency)
           2986184     clara cm308wco cm308wco PD       0:00      1 (Priority)
           2986183     clara cm308wco cm308wco PD       0:00      1 (Priority)
           2986182     clara cm308wco cm308wco PD       0:00      1 (Priority)
           2942491     clara distribu pl788pwi PD       0:00      2 (Priority)
           2987842     clara frequenc di328kep PD       0:00      1 (Priority)
       2986189_203     clara Elps_All kb833sze  R       2:11      1 clara02
       2986189_202     clara Elps_All kb833sze  R       7:48      1 clara04
       2986189_200     clara Elps_All kb833sze  R       8:36      1 clara04
       2986189_201     clara Elps_All kb833sze  R       8:36      1 clara07
       2986189_199     clara Elps_All kb833sze  R       9:29      1 clara06
       2986189_198     clara Elps_All kb833sze  R      16:35      1 clara08
       2986189_197     clara Elps_All kb833sze  R      25:33      1 clara04
       2986189_196     clara Elps_All kb833sze  R      27:05      1 clara08
       2986189_195     clara Elps_All kb833sze  R      28:19      1 clara07
       2986189_194     clara Elps_All kb833sze  R      30:11      1 clara07
       2986189_193     clara Elps_All kb833sze  R      36:22      1 clara06
       2986189_192     clara Elps_All kb833sze  R      36:57      1 clara02
       2986189_191     clara Elps_All kb833sze  R      43:17      1 clara02
       2986189_190     clara Elps_All kb833sze  R      47:55      1 clara06
       2986189_189     clara Elps_All kb833sze  R      49:20      1 clara05
       2986189_188     clara Elps_All kb833sze  R      55:39      1 clara08
       2986189_187     clara Elps_All kb833sze  R      56:44      1 clara05
           2986242     clara     r_cv tx997hco  R   19:44:52      1 clara14
           2932710     clara        0 ml796thu  R 1-08:49:32      1 clara08
           2937283     clara        0 ml796thu  R 1-08:48:32      1 clara06
           2930433     clara        0 ml796thu  R 1-08:44:43      1 clara05
           2930421     clara        0 ml796thu  R 1-08:46:22      1 clara02
           2932505     clara        0 ml796thu  R 1-08:42:49      1 clara04
           2986092     clara cm308wco cm308wco  R   23:09:16      1 clara07
           2986084     clara cm308wco cm308wco  R   23:15:57      1 clara05
           2986911     clara baseline di328kep  R    6:58:59      1 clara06
           2986878     clara baseline di328kep  R    7:22:00      1 clara11
           2986875     clara baseline di328kep  R    7:24:00      1 clara04
           2986871     clara baseline di328kep  R    7:27:00      1 clara09
           2986869     clara baseline di328kep  R    7:28:00      1 clara05
           2986863     clara baseline di328kep  R    7:33:00      1 clara05
           2986848     clara baseline di328kep  R    7:46:01      1 clara07
           2986811     clara baseline di328kep  R    8:14:01      1 clara10
           2986749     clara baseline di328kep  R    9:00:03      1 clara10
           2986742     clara baseline di328kep  R    9:05:03      1 clara05
           2986726     clara baseline di328kep  R    9:19:03      1 clara10
           2986715     clara frequenc di328kep  R    9:29:33      1 clara18
           2986714     clara baseline di328kep  R    9:31:03      1 clara17
           2986712     clara frequenc di328kep  R    9:34:34      1 clara14
           2986710     clara frequenc di328kep  R    9:36:34      1 clara08
           2986700     clara frequenc di328kep  R    9:53:34      1 clara16
           2986695     clara baseline di328kep  R   10:00:04      1 clara14
           2986687     clara baseline di328kep  R   10:15:05      1 clara09
           2986678     clara frequenc di328kep  R   10:27:35      1 clara16
           2986672     clara baseline di328kep  R   10:37:05      1 clara18
           2986667     clara frequenc di328kep  R   10:41:35      1 clara07
           2986655     clara frequenc di328kep  R   11:03:36      1 clara17
           2986648     clara frequenc di328kep  R   11:12:36      1 clara10
           2986646     clara baseline di328kep  R   11:18:36      1 clara16
           2986645     clara frequenc di328kep  R   11:19:36      1 clara14
           2986605     clara frequenc di328kep  R   11:48:07      1 clara08
           2986604     clara baseline di328kep  R   11:48:37      1 clara02
           2986595     clara frequenc di328kep  R   12:00:07      1 clara15
           2986585     clara baseline di328kep  R   12:12:38      1 clara08
           2986567     clara frequenc di328kep  R   12:19:08      1 clara02
           2986565     clara frequenc di328kep  R   12:24:08      1 clara05
           2986558     clara baseline di328kep  R   12:33:38      1 clara05
           2986534     clara frequenc di328kep  R   12:58:09      1 clara12
           2986528     clara frequenc di328kep  R   13:07:09      1 clara13
           2986518     clara frequenc di328kep  R   13:24:09      1 clara02
           2986511     clara baseline di328kep  R   13:33:40      1 clara04
           2986502     clara frequenc di328kep  R   13:39:10      1 clara17
           2986482     clara frequenc di328kep  R   13:55:10      1 clara17
           2986480     clara baseline di328kep  R   13:58:40      1 clara15
           2986474     clara baseline di328kep  R   14:04:40      1 clara17
           2986461     clara baseline di328kep  R   14:27:11      1 clara14
           2986459     clara frequenc di328kep  R   14:31:11      1 clara17
           2986456     clara baseline di328kep  R   14:38:11      1 clara16
           2986449     clara frequenc di328kep  R   14:42:11      1 clara08
           2986437     clara frequenc di328kep  R   14:56:12      1 clara12
           2986430     clara baseline di328kep  R   15:09:13      1 clara02
           2986427     clara baseline di328kep  R   15:14:13      1 clara15
           2986370     clara baseline di328kep  R   15:28:14      1 clara12
           2986363     clara frequenc di328kep  R   15:31:44      1 clara09
           2986362     clara frequenc di328kep  R   15:33:44      1 clara08
           2986352     clara baseline di328kep  R   15:44:15      1 clara13
           2986348     clara baseline di328kep  R   15:48:15      1 clara13
           2986347     clara baseline di328kep  R   15:49:15      1 clara16
           2986341     clara baseline di328kep  R   15:56:15      1 clara16
           2986332     clara baseline di328kep  R   16:17:16      1 clara15
           2986296     clara baseline di328kep  R   17:29:18      1 clara09
           2986286     clara baseline di328kep  R   17:55:19      1 clara10
           2986283     clara baseline di328kep  R   18:02:19      1 clara13
           2986280     clara baseline di328kep  R   18:13:19      1 clara15
           2986270     clara baseline di328kep  R   18:34:20      1 clara12
           2986256     clara baseline di328kep  R   19:09:51      1 clara14
           2986255     clara baseline di328kep  R   19:10:51      1 clara11
           2986247     clara baseline di328kep  R   19:28:52      1 clara09
           2986240     clara baseline di328kep  R   19:49:52      1 clara09
           2986235     clara frequenc di328kep  R   19:57:23      1 clara13
           2986233     clara baseline di328kep  R   19:57:53      1 clara13
           2986231     clara frequenc di328kep  R   20:02:23      1 clara09
           2986219     clara baseline di328kep  R   20:12:53      1 clara09
           2986208     clara frequenc di328kep  R   20:21:23      1 clara10
           2986198     clara frequenc di328kep  R   20:33:24      1 clara14
           2986166     clara baseline di328kep  R   21:23:13      1 clara07
           2986160     clara baseline di328kep  R   21:51:55      1 clara13
           2986154     clara frequenc di328kep  R   22:01:43      1 clara06
           2986143     clara baseline di328kep  R   22:20:21      1 clara04
           2986101     clara baseline di328kep  R   22:56:25      1 clara07
           2986100     clara frequenc di328kep  R   22:56:50      1 clara06
           2986098     clara frequenc di328kep  R   22:57:50      1 clara06
           2986096     clara baseline di328kep  R   23:05:27      1 clara09
           2986095     clara baseline di328kep  R   23:06:27      1 clara07
           2986090     clara baseline di328kep  R   23:11:28      1 clara10
           2986047     clara baseline di328kep  R 1-00:09:34      1 clara05
           2986043     clara frequenc di328kep  R 1-00:13:00      1 clara06
           2986042     clara baseline di328kep  R 1-00:13:35      1 clara05
           2986038     clara frequenc di328kep  R 1-00:17:01      1 clara02
           2986034     clara frequenc di328kep  R 1-00:20:01      1 clara06
           2984467     clara baseline di328kep  R 1-00:28:18      1 clara27
           2984437     clara baseline di328kep  R 1-00:29:28      1 clara09
           2984416     clara baseline di328kep  R 1-00:29:35      1 clara26
           2984140     clara frequenc di328kep  R 1-00:30:26      1 clara27
           2984018     clara baseline di328kep  R 1-00:30:58      1 clara14
           2983948     clara baseline di328kep  R 1-00:31:07      1 clara12
           2983657     clara baseline di328kep  R 1-00:31:36      1 clara02
           2983406     clara baseline di328kep  R 1-00:34:27      1 clara12
           2983239     clara frequenc di328kep  R 1-02:39:31      1 clara10
           2983222     clara baseline di328kep  R 1-03:16:02      1 clara29
           2980570     clara baseline di328kep  R 1-15:24:03      1 clara11
           2987755     clara spawner- ju173pji  R      33:19      1 clara09
           2987840     clara  p_hp_01 pj345dpe  R       0:18      1 clara19
           2987557     clara spawner- pj345dpe  R    1:57:21      1 clara02
           2987792     clara spawner- pz192nij  R      19:48      1 clara09
           2986138 clara-lon     mlmc je407nto PD       0:00      1 (Nodes required for job are DOWN, DRAINED or reserved for jobs in higher priority partitions)
           2806379 clara-lon unfoldin ms558xza PD       0:00      1 (BadConstraints)
