Fragen;Umformuliert;Antworten;Anzahl_Antworten;Quelle;Kontext
Look at the entity type “patient” that is interpreted and updated by various functions. Which functions update the patient information, which functions interpret it?;"Look at the entity type “patient” that is interpreted and updated by various functions to be performed by health care professionals and other staff in health care facilities. Which functions update the patient information, which functions interpret it?
";The entity type “patient” is updated by the function “patient admission.” All other functions that are related to patient care interpret it.;1;Book;
"Look at the 3LGM^2 example in Sect. 2.15.
Use this example to explain the meaning of the following elements: functions, entity types, application systems, non-computer-based application components, physical data processing system, and inter-layer relationships.";Use the provided example to explain the meaning of the following elements: functions, entity types, application systems, non-computer-based application components, physical data processing system, and inter-layer relationships.;"Administrative admission is an enterprise function that is supported by the patient administration system.
One entity type that is used and updated by this function is “patient.” The paper-based patient data privacy form system is an example of a non-computer-based application component.
The virtualized server farm is an example of a physical tool.
The inter-layer relationships of this example show which functions are supported by which application system and which physical data processing system the application systems are installed on.
";6;Book;"Example: Four subfunctions of patient admission (appointment scheduling, patient identification and checking for readmitted patients, administrative admission, and visitor and information services) are supported by the patient administration system, which is a part of the ERPS.
Medical admission and nursing admission are supported by the MDMS.
Obtaining consent for processing of patient-related data is supported by the non-computer-based application component for patient data privacy forms.
This application component is based on paper forms which are scanned by a clerk (see physical tool layer) and then stored in the MDMS.

The patient administration system, which is the master application system (Sect. 3.​9.​1) for the entity type “patient,” sends the administrative patient data as a message to the MDMS.
The MDMS can thus store this information about the entity type “patient” in its own database; administrative patient data that is needed to support medical admission and nursing admission as functions therefore do not have to be reentered in the MDMS.
The entity type “patient” is both stored in the database systems of the ERPS and the MDMS what is represented by dashed lines between the domain layer and the logical tool layer.

Both the patient administration system and the MDMS are run on servers at a virtualized server farm (see relationships between logical and physical tool layer). The application systems can be accessed by different end devices (patient terminal, PC, tablet PC).

It therefore simplifies some aspects which might be relevant in other contexts.
Another visualization of relationships between 3LGM^2 model elements is the matrix view.
The patient administration system supports three different functions, the MDMS supports two functions, and one function is supported by the paper-based patient data privacy form system.
The matrix view also helps to identify incomplete parts of models.
We can see that there are no functions modeled that are supported by the financial accounting system, the human resources management system, and the material management system, which are parts of the ERPS.

The matrix view is an alternative representation of configuration lines between functions at the domain layer and application components at the logical tool layer. Matrix views are also available for visualizing relations between other pairs of connected 3LGM^2 classes.
"
"Look at the 3LGM^2 sample model in Sect. 2.15 and try to answer the following questions.
(a) Find examples of specialization or decomposition at the domain layer.
(b) What is the meaning of the arrows pointing from patient identification to “patient” and from “patient” to medical admission ?
(c) What entity type that is stored in the paper-based patient data privacy form system should be added at the domain layer?
(d) Why is the function patient admission not connected with any application system?
(e) Which physical data processing systems are needed for the function “obtaining patient consent for the processing of data”?";"Answer the following questions under the given example context.
(a) Find examples of specialization or decomposition at the domain layer.
(b) What is the meaning of the arrows pointing from patient identification to “patient” and from “patient” to medical admission ?
(c) What entity type that is stored in the paper-based patient data privacy form system should be added at the domain layer?
(d) Why is the function patient admission not connected with any application system?
(e) Which physical data processing systems are needed for the function “obtaining patient consent for the processing of data”?";"(a) The function “patient admission” is decomposed into five subfunctions—patient admission is only complete if all the subfunctions are completed. The entity type “patient” is decomposed into four entity types—data regarding that entity type are only complete if data about all sub-entity types is complete. There are no examples of specialization at the domain layer of Fig. 2.11.

(b) The function “patient identification” updates the entity type “patient.” The function “medical admission” uses the entity type “patient.” This indicates that identifying patient data are updated or created during patient admission and then used for medical admission.
 
(c) The entity type “privacy statement” could be added at the domain layer. It would be updated by the function “obtaining consent for processing of patient data.”
 
(d) Patient admission is decomposed into five subfunctions with each being linked to an application component by which it is supported. Therefore, it could lead to an ambiguous model if the superordinated function was linked with another application component. The corresponding modeling rule says that only the leaf functions in a function hierarchy should be linked to application components.
 
(e) The function “obtaining patient consent for the processing of data” is supported by the paper-based patient data privacy form system. For this, a paper record cabinet, a scanner, and a clerk handling these tools are the physical data processing systems needed for the function.";5;Book;"Four subfunctions of patient admission (appointment scheduling, patient identification and checking for readmitted patients, administrative admission, and visitor and information services) are supported by the patient administration system, which is a part of the ERPS.
Medical admission and nursing admission are supported by the MDMS.
Obtaining consent for processing of patient-related data is supported by the non-computer-based application component for patient data privacy forms.
This application component is based on paper forms which are scanned by a clerk (see physical tool layer) and then stored in the MDMS.

The patient administration system, which is the master application system (Sect. 3.​9.​1) for the entity type “patient,” sends the administrative patient data as a message to the MDMS.
The MDMS can thus store this information about the entity type “patient” in its own database; administrative patient data that is needed to support medical admission and nursing admission as functions therefore do not have to be reentered in the MDMS.
The entity type “patient” is both stored in the database systems of the ERPS and the MDMS what is represented by dashed lines between the domain layer and the logical tool layer.

Both the patient administration system and the MDMS are run on servers at a virtualized server farm (see relationships between logical and physical tool layer). The application systems can be accessed by different end devices (patient terminal, PC, tablet PC).

It therefore simplifies some aspects which might be relevant in other contexts.
Another visualization of relationships between 3LGM^2 model elements is the matrix view.
The patient administration system supports three different functions, the MDMS supports two functions, and one function is supported by the paper-based patient data privacy form system.
The matrix view also helps to identify incomplete parts of models.
We can see that there are no functions modeled that are supported by the financial accounting system, the human resources management system, and the material management system, which are parts of the ERPS.

The matrix view is an alternative representation of configuration lines between functions at the domain layer and application components at the logical tool layer. Matrix views are also available for visualizing relations between other pairs of connected 3LGM^2 classes.
"
"Imagine a hospital information system that comprises four application systems: a PAS, an MDMS, a RIS, and a PDMS.
The hospital is now considering the introduction of a communication server to improve data integration.
Discuss the short-term and long-term pros and cons of this decision.
Which syntactic and semantic standards could be used?";"Imagine a hospital information system that comprises four application systems: a PAS, an MDMS, a RIS, and a PDMS.
The hospital is now considering the introduction of a communication server to improve data integration.
Discuss the short-term and long-term pros and cons of this decision.
Which syntactic and semantic standards could be used?";"Short-term advantages: The communication server can handle the communication between all four application systems, including receiving, buffering, transforming, and multicasting of messages.
It can also be used for monitoring the communication traffic.
The communication server thus supports data integration in heterogeneous information system architectures.

Long-term advantages: In the resulting (ACn, CP1) architecture, new application components can easily be integrated, as only one communication interface to the communication server needs to be implemented.

Standards: For the exchange of administrative data, HL7 V2 or V3 could be used as syntactic or semantic standard.
For the exchange of clinical data, various communication standards can be chosen such as HL7 FHIR, DICOM for medical images, or HL7 CDA for clinical documents.
";3;Book;
"The following questions can be answered by reading the text and analyzing the 3LGM^2 figures of the CityCare Example 3.11.
(a) The EHRS and the VNA in CityCare are not linked with any function they support. Which function of the domain layer may (partly) be supported by these application systems? Which functions (as introduced in Sect. 3.3) that are supported by these application systems could be added at the domain layer?
(b) In which database systems shown in the logical tool layer should the entity type “patient” be stored?
(c) The MPI should receive messages containing PINs (entity type “patient”) from all patient administration systems. Why is there no communication link between the MPI and the patient administration system of Ernst Jokl Hospital?
(d) According to the matrix view, which functions are supported redundantly in CityCare? Discuss pros and cons of the functional redundancies in this scenario. What redundancies would you resolve and how?
(e) Which functions in which health care facility cannot be performed anymore if “Application Server 1 Ernst Jokl Hospital” fails? Suggest a change to the physical tool layer that would minimize the risk of missing function support in case a single application server fails.
(f) For the CityCare network, would it make sense to implement further profiles from IHE? Explain your decision.";"The following questions can be answered reading the provided text.
(a) The EHRS and the VNA in CityCare are not linked with any function they support. Which function of the domain layer may (partly) be supported by these application systems? Which functions (as introduced in Sect. 3.3) that are supported by these application systems could be added at the domain layer?
(b) In which database systems shown in the logical tool layer should the entity type “patient” be stored?
(c) The MPI should receive messages containing PINs (entity type “patient”) from all patient administration systems. Why is there no communication link between the MPI and the patient administration system of Ernst Jokl Hospital?
(d) According to the matrix view, which functions are supported redundantly in CityCare? Discuss pros and cons of the functional redundancies in this scenario. What redundancies would you resolve and how?
(e) Which functions in which health care facility cannot be performed anymore if “Application Server 1 Ernst Jokl Hospital” fails? Suggest a change to the physical tool layer that would minimize the risk of missing function support in case a single application server fails.
(f) For the CityCare network, would it make sense to implement further profiles from IHE? Explain your decision.";"(a) EHR systems as comprehensive application systems combine the functionalities of MDMS, NDMS, and CPOE systems. The EHRS of CityCare could therefore be used for medical admission, preparation of an order, or execution of diagnostic and therapeutic procedures. However, each of the three health care facilities in CityCare has its own MDMS. Therefore, the EHRS is probably mainly used for accessing findings from the other health care facilities, for example, during medical admission. For the VNA, no suitable function is modeled at the domain layer. At the domain layer, archiving of patient information could be added which is supported by the VNA and, to some extent, also by the EHRS.
(b) The entity type “patient” represents the persons who are the subject of health care. Information about a patient includes the PIN and other administrative data about the person. Each of the application systems supporting subfunctions of patient care and having an own database system stores the entity type “patient,” for example, the patient administration system including the MPI, the MDMS, the EHRS, and the VNA.
(c) In Ernst Jokl Hospital, there is a star architecture at the logical tool layer, i.e., a communication server is used for the exchange of messages between application systems. The patient administration system of Ernst Jokl Hospital, where the PINs of Ernst Jokl Hospital are generated, sends this information in a message to the communication server. The communication server forwards the message to the MPI of the health care network. In the central MPI of the tHIS, the local patient identification numbers of the different health care facilities are linked to the unique transinstitutional patient identification number of CityCare.
(d) Administrative admission, appointment scheduling, medical admission, order entry, patient identification, and preparation of an order are each supported by at least three application systems in the scenario.
Pros (examples):
- Each of the health care facilities has a functioning information system that is independent from changes or system failures in the other health care facilities.
- The different patient administration systems and medical documentation and management systems may be better adapted to the local needs and grown structures in the single health care facilities than an application system that is used by all of them together.

Cons (examples):
- Three or more different application systems that support the same function cause higher costs and higher administrative effort.
- The effort for establishing integration and interoperability are higher in functional redundant architectures which have a high number of single application systems.

Resolving these redundancies (examples):
- One patient administration system that supports patient identification and administrative admission could be used in all health care facilities instead of three patient administration system and an MPI.
- The central EHRS could be used as MDMS, NDMS as well as CPOE system in each of the facilities and would replace the existing local application systems.

(e) According to the matrix view in Fig. 3.​37, the MDMS of Ploetzberg Hospital is installed on application server 1 Ernst Jokl Hospital. Thus, if this application server 1 Ernst Jokl Hospital fails, the following functions cannot no longer be performed: appointment scheduling, medical admission, order entry, and preparation of an order (see matrix view in Fig. 3.​35).

The application systems used in CityCare should be made available by server clusters with redundant servers. If one server in a server cluster fails, another server can take over its task. Thus, there is no interruption in function support.
 
(f) Yes, it makes sense to use further integration profiles from IHE. For example, IHE XDS could be used. The CityCare network could be established as an affinity domain with several actors that interact in a standardized way (process interoperability) to share document-level or even large binary patient data, such as findings, images, or radiology reports. These documents would be registered centrally in a document registry and could be retrieved by other systems. Depending on how the central EHRS is implemented, it could either take the role of a do";6;Book;"Four subfunctions of patient admission (appointment scheduling, patient identification and checking for readmitted patients, administrative admission, and visitor and information services) are supported by the patient administration system, which is a part of the ERPS.
Medical admission and nursing admission are supported by the MDMS.
Obtaining consent for processing of patient-related data is supported by the non-computer-based application component for patient data privacy forms.
This application component is based on paper forms which are scanned by a clerk (see physical tool layer) and then stored in the MDMS.

The patient administration system, which is the master application system (Sect. 3.​9.​1) for the entity type “patient,” sends the administrative patient data as a message to the MDMS.
The MDMS can thus store this information about the entity type “patient” in its own database; administrative patient data that is needed to support medical admission and nursing admission as functions therefore do not have to be reentered in the MDMS.
The entity type “patient” is both stored in the database systems of the ERPS and the MDMS what is represented by dashed lines between the domain layer and the logical tool layer.

Both the patient administration system and the MDMS are run on servers at a virtualized server farm (see relationships between logical and physical tool layer). The application systems can be accessed by different end devices (patient terminal, PC, tablet PC).

It therefore simplifies some aspects which might be relevant in other contexts.
Another visualization of relationships between 3LGM^2 model elements is the matrix view.
The patient administration system supports three different functions, the MDMS supports two functions, and one function is supported by the paper-based patient data privacy form system.
The matrix view also helps to identify incomplete parts of models.
We can see that there are no functions modeled that are supported by the financial accounting system, the human resources management system, and the material management system, which are parts of the ERPS.

The matrix view is an alternative representation of configuration lines between functions at the domain layer and application components at the logical tool layer. Matrix views are also available for visualizing relations between other pairs of connected 3LGM^2 classes.
"
"In Sect. 4.8.1, we presented the structure of the strategic information management plan of Ploetzberg Hospital.
Compare its structure to the general structure presented in Sect. 4.3.1.2, consisting of strategic goals, description of current state, assessment of current state, future state, and migration path.
Where can you find this general structure in Ploetzberg Hospital’s plan?
";"Given the structure of the strategic information management plan of Ploetzberg Hospital.
Compare its structure to the general structure, consisting of strategic goals, description of current state, assessment of current state, future state, and migration path.
Where can you find this general structure in Ploetzberg Hospital’s plan?
";"- Strategic goals of the health care facility (business goals) and of management of information systems: are visible in Chaps. 1 and 2 of Ploetzberg Hospital’s plan.
- Description of the current state of the information system: are visible in Chap. 3 of Ploetzberg Hospital’s plan.
- Assessment of the current state of the information system: are visible in Chap. 4 of Ploetzberg Hospital’s plan.
- Future state of the information system: are visible in Chap. 5 of Ploetzberg Hospital’s plan.
- Migration path from the current to the planned state: are visible in Chap. 6 of Ploetzberg Hospital’s plan.
";5;Book;
"Look at the health information system’s KPIs of Ploetzberg Hospital in Example 4.8.2. Try to figure out some of these numbers for a real hospital and compare both hospitals’ KPIs in the form of a benchmarking report.
It may help to look at the strategic information management plan of this hospital or at its website.";Look at the health information system’s KPIs of Ploetzberg Hospital in the context. Try to figure out 10 of these numbers for a real hospital and compare both hospitals’ KPIs in the form of a benchmarking report.;"- KPI | Ploetzberg Hospital | My hospital
- Number of HIS staff | 46 | 89
- Number of HIS users | 4800 | 9000
- Number of workstations | 1350 | 6200
- Number of mobile IT tools | 2500 | 2000
- HIS user per mobile IT tool | 1.9 | 4.5
- Number of IT problem tickets | 15,500 | 36,250
- Percentage of solved IT problem tickets | 96% | 92%
- Availability of the overall HIS systems | 98.5% | 96%
- Number of finalized strategic IT projects | 13 | 10
- Percentage of successful IT projects | 76% | 86%";10;Book;"The CIO of Ploetzberg Hospital annually reports to the hospital’s management about the amount, quality, and costs of information processing of the Ploetzberg Hospital information system.
For this report, the CIO uses health information system KPIs that have been agreed on by a regional group of hospital CIOs (Table 4.3). Each year, the hospitals exchange and discuss their reports as part of a best practice benchmark with other hospitals—this comparison is not shown in the table.

Table 4.3: Extract from the Ploetzberg Hospital health information system’s benchmarking report 2024.
KPI key performance indicator
- KPIs for the hospital
- Number of staff | 5500
- Number of beds | 1100
- Number of inpatient cases 40,000
- Mean duration of stay | 8.1 days
- Hospital budget | €800 million
- KPIs for health information system’s costs
- Overall IT costs | €20 million
- IT costs per inpatient case | €500
- IT costs in relation to hospital budget | 2.5%
- KPIs for health information system’s management
- Number of HIS staff | 46
- Number of HIS users | 4800
- Number of workstations | 1350
- Number of mobile IT tools | 2500
- HIS user per mobile IT tool | 1.9
- Number of IT problem tickets | 15,500
- Percentage of solved IT problem tickets | 96%
- Availability of the overall HIS systems | 98.5%
- Number of finalized strategic IT projects | 13
- Percentage of successful IT projects | 76%
- KPIs for health information system’s functionality
- Percentage of all documents available electronically | 45%
- Percentage of all diagnosis coded electronically | 77%
- Functionality index of patient administration system | 52%
- Functionality index of MDMS | 87%
- KPIs for health information system’s architecture
- Number of computer-based application components | 84
- Percentage of standard interfaces between applications | 87%
- Functional redundancy rate | 0.44"
"You are asked to organize regular (e.g., every half year) quantitative user feedback on the general user satisfaction with major clinical application components of your hospital as part of health information system’s monitoring.
Which user groups would you consider? How could you gather user feedback regularly in an automatic way? Explain your choice.";"You are asked to organize regular (e.g., every half year) quantitative user feedback on the general user satisfaction with major clinical application components of your hospital as part of health information system’s monitoring.
Which user groups would you consider? How could you gather user feedback regularly in an automatic way? Explain your choice.";"User groups: physicians, nurses, technical staff (e.g., lab, radiology), and management staff—these groups are typically large health information systems user groups. I would also organize regular survey of CIS key users, as they are experts in judging the quality of the information systems.

Organization of user feedback: (1) Health information system users are randomly invited to an automatic short and standardized survey that is displayed during CIS login.
(2) Every half year, I would organize sounding boards (a structured approach to obtain active feedback from stakeholders) with key users and with representatives from the larger user groups to discuss recent challenges with the CIS and opportunities for improvements.";2;Book;
"Read the following case descriptions and discuss the integration problems using the types of integration presented in Sect. 5.3.4. Which negative effects for information logistics result from the identified integration problems?
1. A physician enters a medical diagnosis for a patient first in the medical documentation and management system (MDMS) and later, when ordering an X-ray, again in the CPOE system.
2. The position of the patient’s name and the formatting of the patient’s birthdate vary between the MDMS and the CPOE system.
3. When physicians shift from the MDMS to the CPOE system, they have to log in again and again search for the correct patient.
4. The CPOE system and the RIS use slightly different catalogs of available radiology examinations.
5. When physicians write the discharge letter for a patient in the MDMS, they also have to code the discharge diagnosis of a patient. For this coding, they have to use a feature that is only available in the patient administration system, so they have to shift to this application system.
6. While at the patient’s bedside during their ward rounds, physicians have to use several application components at the same time, such as MDMS for retrieving recent findings, the CPOE system for ordering, and the PACS for retrieving images.";"Read the following case descriptions and discuss the integration problems using the types of integration. Which negative effects for information logistics result from the identified integration problems?
1. A physician enters a medical diagnosis for a patient first in the medical documentation and management system (MDMS) and later, when ordering an X-ray, again in the CPOE system.
2. The position of the patient’s name and the formatting of the patient’s birthdate vary between the MDMS and the CPOE system.
3. When physicians shift from the MDMS to the CPOE system, they have to log in again and again search for the correct patient.
4. The CPOE system and the RIS use slightly different catalogs of available radiology examinations.
5. When physicians write the discharge letter for a patient in the MDMS, they also have to code the discharge diagnosis of a patient. For this coding, they have to use a feature that is only available in the patient administration system, so they have to shift to this application system.
6. While at the patient’s bedside during their ward rounds, physicians have to use several application components at the same time, such as MDMS for retrieving recent findings, the CPOE system for ordering, and the PACS for retrieving images.";"1. A physician enters a medical diagnosis for a patient first in the MDMS and later, when ordering an X-ray, again in the CPOE system. → No data integration, resulting in reentering of data, which is time-consuming and may lead to errors and inconsistencies in the data, which has the potential for patient harm.
 
2. The position of the patient’s name and the formatting of the patient’s birthdate vary between the MDMS and the CPOE system. → No user interface integration, resulting in increased time effort when using various application components, increased time needed for user training, and increased risk in overlooking or misinterpreting important patient information, which has the potential for patient harm.
 
3. When physicians shift from the MDMS to the CPOE system, they have to log in again and again search for the correct patient. → No context integration, leading to an increase in time needed to shift between application systems and an increased risk for selecting the wrong patient in the second application systems, which has the potential for patient harm.
 
4. The CPOE system and the RIS use slightly different catalogs of available radiology examinations. → No semantic integration, making the exchange and reuse of patient information in both application systems challenging.
 
5. When physicians write the discharge letter for a patient in the MDMS, they also have to code the discharge diagnosis of a patient. For this coding, they have to use a feature that is only available in the patient administration system, so they have to shift to this application system. → No feature integration, leading to increased time needed to shift to the patient administration system.
 
6. While being at the patient’s bedside during their ward rounds, physicians have to use several application components at the same time, such as MDMS for retrieving recent findings, the CPOE system for ordering, and the PACS for retrieving images. → No process integration; a process should be organized in a way that frequent change of application systems is avoided if possible.";6;Book;
"Skizzieren Sie die Fachliche Ebene und die Logische Werkzeugebene des folgenden Szenarios als 3LGM²-Modell auf dem nächsten Blatt (9 Punkte).
   1. Die administrative Patientenaufnahme erfolgt mit dem Patientenverwaltungssystem. Die administrativen Patientendaten, repräsentiert durch den Objekttyp „Patient“ werden vom Patientenverwaltungssystem über den Kommunikationsserver an das CPOE-System, das Medizinische Dokumentationssystem und das Laborinformationssystem gesendet. Auf Papier mitgebrachte Vorbefunde werden bei der administrativen Patientenaufnahme eingescannt und im Medizinischen Dokumentationssystem gespeichert. 
   2. Ergänzen Sie je eine Aufgabe des CPOE-Systems, des Medizinischen Dokumentationssystems und des Laborinformationssystems (inkl. Konfigurationslinien).
   3. Ergänzen Sie einen passenden Objekttyp sowie je zwei sinnvolle „bearbeitet“- und „nutzt“-Beziehungen zwischen Objekttypen und Aufgaben. ";"Given the scenario from the context, list out the used application components and tasks they perform. Order these in the Domain Layer and Logical Tool Layer of the 3LGM^2 model.
Add one task each of the CPOE system, the medical documentation system and the laboratory information system
Add a suitable object type as well as two meaningful ""updates"" and ""uses"" relationships between object types and tasks. ";"Domain Layer:
- Patient Admission

Logical Tool Layer:
- Patient Management System
- Communication Server
- CPOE System
- Medical Documentation System
- Laboratory Information System


CPOE System:
- Task: Creation/Administration of Medication plans

Medical Documentation System:
- Task: Administration/Storage of Patientanamnesis

Laboratory Information System:
- Task: Storage/Processing of Laboratory Requests

Object Type:
- Patient
  - Uses: Administration/Storage of Patientanamnesis, Creation/Administration of Medication plans
  - Processed: Patient Admission";11;IS_2020_07_18;"The administrative patient admission takes place with the patient management system. The administrative patient data, represented by the object type ""patient"", are sent from the patient management system via the communication server to the CPOE system, the medical documentation system and the laboratory information system. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation system."
