question,transformed,generated,true_answer,num_answers,type,source,context,true_input
"In Sect. 4.2, we introduced a three-dimensional classification of activities of management of information systems. How would you describe the scope and tasks of the following activities of managing information systems? - Developing a strategic information management plan (e.g., this is related to strategic planning),",How would you discribe the scope an tasks for the following activites of managing informations systems: Developping a strategic information managment plan?,"
 
 
 Answer:
 1. Strategic Information Management Plan: Based on a thorough analysis of the information system of a health care facility, the strategic information management plan is described based on strategic alignment.
 2. Strategic Information Management Plan: Based on a thorough analysis of the information system of a health care facility, the strategic information management plan is described based on strategic alignment.
 3. Strategic Information Management Plan: Based on a thorough analysis of the information system of a health care facility, the strategic information management plan is described based on strategic alignment.
 
 4. Strategic Information Management Plan: Based on a thorough analysis of the information system of a health care facility, the strategic information management plan is described based on strategic alignment.
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 ### 4.3.1.3.1 Strategic Information Management Boarding the Physical management of Information Systems in Ambulatory management of information systems:​ Scopularity.​org.​who are the “right”:​ Scopularity.​org.​who are the “right people”:",Developing a strategic information management plan: strategic planning,1,single,Book,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: How would you discribe the scope an tasks for the following activites of managing informations systems: Developping a strategic information managment plan?
Answer: "
Definieren Sie den Begriff „transinstitutionelles Gesundheitsinformationssystem“. Verwenden Sie dabei den Begriff des „Settings“.,"Define the term ""trans-instutional health information sistem"". Use the term ""seting"" for this porpose.","
 Health information systems supporting this function and offering the features required for this purpose can be called transinstitutional health information systems (tHIS).
 
 ### 3.9.3 Requirements of Researchers in Biomedicineine
 Many researchers in biomedicine need patient data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 ### 3.9.3 Requirements of Researchers in Biomedicine
 Many researchers in biomedicine need patient data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 ### 3.9.3 Requirements of Researchers in Biomedicine
 Many researchers in biomedicine need patient data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 ### 3.9.3 Requirements of Researchers in Biomedicine
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 ### 3.9.3 Requirements of Researchers in Biomedicine
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in Biomedicine need this data for their research.
 
 ### 3.9.3 Requirements of Researchers in Biomedicine
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in biomedicine need this data for their research.
 
 Many researchers in Biomedicine need this data for their research.","A transinstitutional health information system is the socio-technical subsystem which comprises all data, information, and knowledge processing as well as the associated human or technical actors in their respective data, information, and knowledge processing roles. It cdescribes the information system of a health care network, in which multiple Settings are present. Each setting is a context this information system is used in, for example in the stationary or ambulant care, but also rehabilitation or care of the elder.",1,single,IS_2022_09_27,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: Define the term ""trans-instutional health information sistem"". Use the term ""seting"" for this porpose.
Answer: "
tHIS?,"Defne the tirm ""tHIS"".","1. ISACA. COBIT—Effect ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: 4th edn: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation:
 
 ## 5. Information Management Board (ITIL Foundation): ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: ITIL Foundation: 4th edn:​itIL Foundation:​org:​itIL Foundation:​org:​org:​ITIL Foundation:​org:​org:​ITIL Foundation:​org:​Effects of a Computerized Physician Order Entry Nearly Hard-Stop Clinical Decision Support for Worker Health:​Effects of a Computerized Physician Order Entry Nearly Hard-Stop Clinical Decision Support for Worker Health:​Effects of a Computerized Physician Order Entry Nearly Hard-Stop Clinical Decision Support for Worker Health:​Effects of a Computerized Physician Order Entry Nearly Hard-Stop Clinical Decision Support for Worker Health:​Effects of a Computerized","tHIS stands for transinstitutional health information system, an information system of a health care network which consists of multiple health care settings (contexts). It comprises all data, information, and knowledge processing as well as the associated human or technical actors in their respective data, information, and knowledge processing roles.",1,single,IS_2022_09_27,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: Defne the tirm ""tHIS"".
Answer: "
Was ist ein Archetype?,What is an archtype in the context of health information sistems?,"
 Health information systems need this question for two reasons. Firstly, because it supports the derivation of more specific models through modifications, limitations, or completions, and
 
 For example, a model of the processes in a hospital needs to be derivedable from a general reference model on certain quality aspects of health information systems.
 
 For example, a model of a hospital needs a modeling system to support the derivation of more specific models through modifications, limitations, or completions.
 
 ### 5.3.1.3 Requirements of Researchers in Biomedicineineineine
 Requirements that researchers in biomedicine need for optimal support of research endeavors in biomedicineineineineine are researchers in biomedicine need for optimal support of research endeavors in Biomedicine.
 
 ### 5.3.1 Requirements of Researchers in Biomedicine
 
 Requirements that researchers in biomedicine need for optimal support of research endeavors in Biomedicine are researchers in biomedicine need for optimal support of research endeavors in Biomedicine.
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 Requirements that researchers in biomedicine need for optimal support of research endeavors in Biomedicine are researchers in Biomedicine need for optimal support of research endeavors in Biomedicine.
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 Requirements that researchers in biomedicine need for optimal support of research endeavors in Biomedicine are researchers in Biomedicine need for optimal support of research endeavors in Biomedicine.
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 Requirements that researchers in biomedicine need for optimal support of research endeavors in Biomedicine are researchers in Biomedicine need for optimal support of research endeavors in Biomedicine.
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 Requirements that researchers in biomedic",An archetype is a formal specification of a clinical concept that can be used to create interoperable and resuable electronic health records. Archetypoes are designed to be independent of any specific EHR system and are intended to be used as building blocks for EHRs.,1,single,IS_2022_09_27,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: What is an archtype in the context of health information sistems?
Answer: "
Ist „Dokumentation“ eine datenverarbeitende Aufgabe bzw. eine enterprise function?,"Is ""documentaton"" a data procesing task or an enterprise funtion?","
 The question is “Document” and “documentation” in this context refers to the correct assignment of entity types to correct patient and correct decision.
 
 In this section, you will learn about the correct assignment of entity types and correct assignment of entity types to correct patient and correct decision.
 
 ### 3.4.1 Entity Types About Patients’ Diseases and Their Treatment
 In this section, you will learn about the correct assignment of entity types to patients and correct assignment of entity types to other entity types.
 
 In this section, you will learn about the correct assignment of entity types to patients and correct assignment of entity types to other entity types.
 
 ### 3.4.1 Entity Types About Patients’ Discharge and Transfer to Other Facilities
 In case of inpatients, this is more complicated.
 In addition to the correct assignment of entity types to patients and cases, the correct assignment of entity types to other entity types is the correct assignment of entity types to other entity types.
 In addition to the correct assignment of entity types to patients and cases, the correct assignment of entity types to other entity types is the correct assignment of entity types to other entity types.
 In this section, you will learn about the correct assignment of entity types to other entity types and the correct assignment of entity types to other entity types.
 
 ### 3.4.1 Entity Types About Patients’ Discharge and Transfer to Other Facilities
 In case of outpatients, this is more complicated.
 In addition to the correct assignment of entity types to patients and cases, the correct assignment of entity types to other entity types is the correct assignment of entity types to other entity types.
 In addition to the correct assignment of entity types to patients and cases, the correct assignment of entity types to other entity types is the correct assignment of entity types to other entity types.
 In this section, you will learn about the correct assignment of entity types to other entity types and the correct assignment of entity types to other entity types.
 
 ### 3.4.1 Entity Types About Patients’ Discharge and Transfer to Other Facilities
 In case of outpatients, this is more complicated.
 In addition to the correct assignment of entity types to patients and cases, the correct assignment of entity",A data processing task,1,single,IS_2022_09_27,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: Is ""documentaton"" a data procesing task or an enterprise funtion?
Answer: "
Wie erfolgt die Kommunikation der Anforderung (order) an das LIS?,How is the request (order) comunicated to the LIS?,"
 The order is sent via Ernst Jokl Hospital’s communication server to the LIS’ communication server. The LIS provides the transinstitutional PIN for Mr. Russo to the transinstitutional PIN for Mr. Russo.
 The transinstitutional PIN for Mr. Russo is forwarded to the transinstitutional PIN for Mr. Russo.
 
 ### 1.3.1 Entity Types About Patients’ Diseases and Their Treatment
 In addition to providing correct PINs to health care facilities and other health care professionals, the LIS also provides correct PINs to health insurance companies and their professionals as well as to health insurance persons and their informal caregivers.
 
 ### 1.3.1 Entity Types About Patients’ Discharge and Transfer to Other Facilities
 In case of inpatients, this is more complicated.
 In addition to providing correct PINs to health care facilities and professionals, the LIS may also help to a limited extent that persons may need to receive certain information from health care facilities.
 
 ### 1.3.1 Entity Types About Patients’ Discharge and Transfer to Other Facilities
 In case of outpatients, this is more complicated.
 In addition to providing correct PINs to health care facilities and professionals, the LIS may also help to a limited extent that persons need certain information from health care facilities.
 
 ### 1.3.1 Entity Types About Patients’ Discharge and Transfer to Other Facilities
 In case of outpatients, this is more complicated.
 In addition to providing correct PINs and CINs to health care facilities and professionals, the LIS may also help to a limited extent that persons need information from health care facilities and their professionals as well as from persons and facilities in order to make the right decisions.
 
 ### 1.3 Requirements of Researchers in Biomedicine
 In biomedicine, researchers in biomedicine need patient data for their research.
 
 For this reason, the LIS provides correct PINs and CINs to researchers in Biomedicine and management.
 
 ###",It isn't. The call is made from the work place during the context integration of patient identifying data to the LIS.,1,single,IS_2022_09_27,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: How is the request (order) comunicated to the LIS?
Answer: "
"Look at the 3LGM^2 example in Sect. 2.15.
Use this example to explain the meaning of the following elements: functions, entity types, application systems, non-computer-based application components, physical data processing system, and inter-layer relationships.","Use the provided exemple to explain the meaning of the following elements: funtions, entity types, application sistems, non-computer-based application componets, physical data proccessing system, and inter-layer relationchips.","
 The patient administration system (PAS) is the master application system (Sect. 3.9). This application system sends the administrative data as a message to the MDMS.
 The MDMS can store this information in its own database.
 
 ### 3.9.3 Entity Types About Patients’ Diseases and Their Treatment
 In addition to the application system of the health care facility, it is necessary to support the documentation of persons’ diseases and their therapies.
 These are the so-called rehabilitation centers.
 These are facilities primarily related to the treatment of persons in the context of biomedical research.
 These research data management systems are used to support research activities.
 
 ### 3.9.3 Rehabilitation
 In particular after treatment episodes for inpatients in particular in the inpatient rehabilitation center, rehabilitation may sometimes take place within such centers.
 These are rehabilitation centers.
 
 ### 3.9.3 Rehabilitation
 In particular after treatment episodes for inpatients in particular in the inpatient rehabilitation center, rehabilitation may sometimes take place within such centers.
 These are rehabilitation centers.
 
 ### 3.9.3 Rehabilitation
 In particular after treatment episodes for inpatients in particular in the inpatient rehabilitation center, rehabilitation may sometimes take place within such centers.
 These are rehabilitation centers.
 
 ### 3.9.3 Rehabilitation
 In particular after treatment episodes for inpatients in particular in the inpatient rehabilitation center, rehabilitation may sometimes take place within such centers.
 These are rehabilitation centers.
 
 ### 3.9.3 Rehabilitation
 In particular after treatment episodes for inpatients in particular in the inpatient rehabilitation center, rehabilitation may sometimes take place within such centers.
 These are rehabilitation centers.
 
 ### 3.9.3 Rehabilitation
 In particular after treatment episodes for inpatients in particular in the","Administrative admission is an enterprise function that is supported by the patient administration system.
One entity type that is used and updated by this function is “patient.” The paper-based patient data privacy form system is an example of a non-computer-based application component.
The virtualized server farm is an example of a physical tool.
The inter-layer relationships of this example show which functions are supported by which application system and which physical data processing system the application systems are installed on.",6,multi,Book,"Example: Four subfunctions of patient admission (appointment scheduling, patient identification and checking for readmitted patients, administrative admission, and visitor and information services) are supported by the patient administration system, which is a part of the ERPS.
Medical admission and nursing admission are supported by the MDMS.
Obtaining consent for processing of patient-related data is supported by the non-computer-based application component for patient data privacy forms.
This application component is based on paper forms which are scanned by a clerk (see physical tool layer) and then stored in the MDMS.

The patient administration system, which is the master application system (Sect. 3.​9.​1) for the entity type “patient,” sends the administrative patient data as a message to the MDMS.
The MDMS can thus store this information about the entity type “patient” in its own database; administrative patient data that is needed to support medical admission and nursing admission as functions therefore do not have to be reentered in the MDMS.
The entity type “patient” is both stored in the database systems of the ERPS and the MDMS what is represented by dashed lines between the domain layer and the logical tool layer.

Both the patient administration system and the MDMS are run on servers at a virtualized server farm (see relationships between logical and physical tool layer). The application systems can be accessed by different end devices (patient terminal, PC, tablet PC).

It therefore simplifies some aspects which might be relevant in other contexts.
Another visualization of relationships between 3LGM^2 model elements is the matrix view.
The patient administration system supports three different functions, the MDMS supports two functions, and one function is supported by the paper-based patient data privacy form system.
The matrix view also helps to identify incomplete parts of models.
We can see that there are no functions modeled that are supported by the financial accounting system, the human resources management system, and the material management system, which are parts of the ERPS.

The matrix view is an alternative representation of configuration lines between functions at the domain layer and application components at the logical tool layer. Matrix views are also available for visualizing relations between other pairs of connected 3LGM^2 classes.","Instruction: You are given a question and a context. Answer the question to your best knowledge.
Question: Use the provided exemple to explain the meaning of the following elements: funtions, entity types, application sistems, non-computer-based application componets, physical data proccessing system, and inter-layer relationchips.
Context: Example: Four subfunctions of patient admission (appointment scheduling, patient identification and checking for readmitted patients, administrative admission, and visitor and information services) are supported by the patient administration system, which is a part of the ERPS.
Medical admission and nursing admission are supported by the MDMS.
Obtaining consent for processing of patient-related data is supported by the non-computer-based application component for patient data privacy forms.
This application component is based on paper forms which are scanned by a clerk (see physical tool layer) and then stored in the MDMS.

The patient administration system, which is the master application system (Sect. 3.​9.​1) for the entity type “patient,” sends the administrative patient data as a message to the MDMS.
The MDMS can thus store this information about the entity type “patient” in its own database; administrative patient data that is needed to support medical admission and nursing admission as functions therefore do not have to be reentered in the MDMS.
The entity type “patient” is both stored in the database systems of the ERPS and the MDMS what is represented by dashed lines between the domain layer and the logical tool layer.

Both the patient administration system and the MDMS are run on servers at a virtualized server farm (see relationships between logical and physical tool layer). The application systems can be accessed by different end devices (patient terminal, PC, tablet PC).

It therefore simplifies some aspects which might be relevant in other contexts.
Another visualization of relationships between 3LGM^2 model elements is the matrix view.
The patient administration system supports three different functions, the MDMS supports two functions, and one function is supported by the paper-based patient data privacy form system.
The matrix view also helps to identify incomplete parts of models.
We can see that there are no functions modeled that are supported by the financial accounting system, the human resources management system, and the material management system, which are parts of the ERPS.

The matrix view is an alternative representation of configuration lines between functions at the domain layer and application components at the logical tool layer. Matrix views are also available for visualizing relations between other pairs of connected 3LGM^2 classes.
Answer: "
"Skizzieren Sie die Fachliche Ebene und die Logische Werkzeugebene des folgenden Szenarios als 3LGM²-Modell auf dem nächsten Blatt (9 Punkte).
   1. Die administrative Patientenaufnahme erfolgt mit dem Patientenverwaltungssystem. Die administrativen Patientendaten, repräsentiert durch den Objekttyp „Patient“ werden vom Patientenverwaltungssystem über den Kommunikationsserver an das CPOE-System, das Medizinische Dokumentationssystem und das Laborinformationssystem gesendet. Auf Papier mitgebrachte Vorbefunde werden bei der administrativen Patientenaufnahme eingescannt und im Medizinischen Dokumentationssystem gespeichert. 
   2. Ergänzen Sie je eine Aufgabe des CPOE-Systems, des Medizinischen Dokumentationssystems und des Laborinformationssystems (inkl. Konfigurationslinien).
   3. Ergänzen Sie einen passenden Objekttyp sowie je zwei sinnvolle „bearbeitet“- und „nutzt“-Beziehungen zwischen Objekttypen und Aufgaben.","Describe the functional level and the logical tool level of the following scenario as a 3LGM^2 model.
1. The administrative patient admission takes place with the patient managment sistem. The administrative patient data, represented by the object type ""patient"", are send from the patient managment sistem via the comunications server to the CPOE sistem, the medical documentation sistem and the laboratory information sistem. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation sistem.
2. Add one task each of the CPOE sistem, the medical documentation sistem and the laboratory information sistem (incl. configuration lines).
3. Add a suitable object type as well as two meaningfull ""updates"" and ""uses"" relationships between object types and tasks.","1. The patient administration system sends the administrative data to the CPOE system using the HL7 FHIR standard. The CPOE system sends back the administrative data using the HL7 FHIR standard.
 2. The patient administration system sends back the administrative data using the HL7 FHIR standard to the CPOE system using the HL7 FHIR standard.
 4. The patient administration system sends back the administrative data using the HL7 FHIR standard to the CPOE system using the HL7 FHIR standard.
 
 The CPOE system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient","Domain Layer:
- Patient Admission

Logical Tool Layer:
- Patient Management System
- Communication Server
- CPOE System
- Medical Documentation System
- Laboratory Information System


CPOE System:
- Task: Creation/Administration of Medication plans

Medical Documentation System:
- Task: Administration/Storage of Patientanamnesis

Laboratory Information System:
- Task: Storage/Processing of Laboratory Requests

Object Type:
- Patient
  - Uses: Administration/Storage of Patientanamnesis, Creation/Administration of Medication plans
  - Processed: Patient Admission",11,multi,IS_2022_07_18,"The administrative patient admission takes place with the patient management system. The administrative patient data, represented by the object type ""patient"", are sent from the patient management system via the communication server to the CPOE system, the medical documentation system and the laboratory information system. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation system.","Instruction: You are given a question and a context. Answer the question to your best knowledge.
Question: Describe the functional level and the logical tool level of the following scenario as a 3LGM^2 model.
1. The administrative patient admission takes place with the patient managment sistem. The administrative patient data, represented by the object type ""patient"", are send from the patient managment sistem via the comunications server to the CPOE sistem, the medical documentation sistem and the laboratory information sistem. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation sistem.
2. Add one task each of the CPOE sistem, the medical documentation sistem and the laboratory information sistem (incl. configuration lines).
3. Add a suitable object type as well as two meaningfull ""updates"" and ""uses"" relationships between object types and tasks.
Context: The administrative patient admission takes place with the patient management system. The administrative patient data, represented by the object type ""patient"", are sent from the patient management system via the communication server to the CPOE system, the medical documentation system and the laboratory information system. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation system.
Answer: "
"Ordnen Sie folgende Begriffe und Definitionen einander zu.
   1. Datenintegrität, Interoperabilität, Syntaktische Interoperabilität, Referentielle Integrität, Semantische Integration, Datenintegration
   2. Fähigkeit eines Anwendungssystems (AWS), Informationen mit anderen AWS auszutauschen und zu nutzen
   3. Zustand eines Informationssystems, in dem Daten, die einmal erfasst wurden, überall  verfügbar sind, wo sie benötigt werden
   4. Zustand eines Informationssystems, in dem interoperable Anwendungssysteme das gleiche Begriffssystem nutzen
   5. Fähigkeit eines Anwendungssystems, Nachrichten mit einer definierten Struktur auszutauschen
   6. Korrektheit der Daten
   7. Korrekte und eindeutige Zuordnung eines Objekts zu anderen Objekten","Match the following terms and definitions.
Terms:
data integrity, interoperability, syntactic interoperability, referential integrity, semantic integration, data integration.
Definitions:
1. ability of an application system (AWS) to exchange and use information with other AWSs
2. state of an information system in which data, once captured, is availble wherever it is needed
3. state of an information system in which interoperable application sistems use the same conceptual system
4. ability of an application system to exchange messages with a defined structur
5. corectness of data
6. correct and unambigous assignment of an object to other objects.","1. Data integrity: Situation where the correct assignment of --> data is correctly represented.
 
 2. Data integrity: Situation where the correct assignment of --> data is correctly represented.
 3. Ability of an application system to exchange and use the correct assignment of a given patient.
 
 ### 5.3.1.3 Ability of an Information Management Board to make the right decisions
 
 In the right assignment of a patient to a given case, the most important persons is the patient.
 The most important persons working for health care facilities is a health care professional who is responsible for the assignment of patients to the correct assignment of patients to the correct patient.
 
 In the correct assignment of a patient to a given case, the persons responsible will have to make the right decision.
 
 ### 5.3.1.3 Requirements of Researchers in Biomedicine
 
 ### 5.3.1 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Requirements of Researchers in Biomedicine
 
 ### 5.3 Re","Data Integrity: 5. correctness of data
Interoperability: 1. ability of an application system (AWS) to exchange and use information with other AWSs
Syntactic Interoperability: 4. ability of an application system to exchange messages with a defined structure
Referential Integrity: 6. correct and unambiguous assignment of an object to other objects
Semantic Integration: 3. state of an information system in which interoperable application systems use the same conceptual system
Data Integration: 2. state of an information system in which data, once captured, is available wherever it is needed",6,multi,IS_2022_07_18,,"Instruction: You are given a question. Answer the question to your best knowledge.
Question: Match the following terms and definitions.
Terms:
data integrity, interoperability, syntactic interoperability, referential integrity, semantic integration, data integration.
Definitions:
1. ability of an application system (AWS) to exchange and use information with other AWSs
2. state of an information system in which data, once captured, is availble wherever it is needed
3. state of an information system in which interoperable application sistems use the same conceptual system
4. ability of an application system to exchange messages with a defined structur
5. corectness of data
6. correct and unambigous assignment of an object to other objects.
Answer: "
"Skizzieren Sie die Fachliche Ebene und die Logische Werkzeugebene des folgenden Szenarios als 3LGM²-Modell auf dem nächsten Blatt.
   1. Die administrative Patientenaufnahme erfolgt mit dem Patientenverwaltungssystem. Die administrativen Patientendaten, repräsentiert durch den Objekttyp „Patient“ werden vom Patientenverwaltungssystem über den Kommunikationsserver an das CPOE-System, das Medizinische Dokumentationssystem und das Radiologieinformationssystem gesendet. Auf Papier mitgebrachte Vorbefunde werden bei der administrativen Patientenaufnahme eingescannt und im Medizinischen Dokumentationssystem gespeichert.
   2. Ergänzen Sie je eine Aufgabe des CPOE-Systems, des Medizinischen Dokumentationssystems und des Radiologieinformationssystems (inkl. Konfigurationslinien).
   3. Ergänzen Sie einen passenden Objekttyp sowie je zwei sinnvolle „bearbeitet“- und „nutzt“-Beziehungen zwischen Objekttypen und Aufgaben.","Describe the functional level and the logical tool level of the following scenario as a 3LGM^2 model.
1. The administrative patient admission takes place with the patient managment sistem. The administrative patient data, represented by the object type ""patient"", are send from the patient managment sistem via the comunications server to the CPOE sistem, the medical documentation sistem and the radiology information sistem. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation sistem.
2. Add one task each of the CPOE sistem, the medical documentation sistem and the radiology information sistem (incl. configuration lines).
3. Add a suitable object type as well as two meaningfull ""updates"" and ""uses"" relationships between object types and tasks.","1. The patient administration system sends the administrative data to the CPOE system using the HL7 FHIR standard. The CPOE system sends back the administrative data using the HL7 FHIR standard.
 2. The patient administration system sends back the administrative data using the HL7 FHIR standard to the CPOE system using the HL7 FHIR standard.
 4. The patient administration system sends back the administrative data using the HL7 FHIR standard to the CPOE system using the HL7 FHIR standard.
 
 The CPOE system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the CPOE system using the HL7 FHIR standard.
 
 The CPOE system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
 The patient administration system sends back the administrative data using the HL7 FHIR standard to the patient administration system using the HL7 FHIR standard.
 
","Domain Layer:
- Administrative Patient Admission

Logical Tool Layer:
- Patient Management System
- Communication Server
- CPOE System
- Medical Documentation System
- Radiologoy Information System


CPOE System:
- Task: Creation/Administration of Medication plans

Medical Documentation System:
- Task: Administration/Storage of Patientanamnesis

Radiology Information System:
- Task: Archive/Processing of Radiological Images

Object Type:
- Medication Plan
  - Uses: Administration/Storage of Patientanamnesis
  - Processed: Creation/Administration of Medication plans",11,multi,IS_2022_09_27,"The administrative patient admission takes place with the patient management system. The administrative patient data, represented by the object type ""patient"", are sent from the patient management system via the communication server to the CPOE system, the medical documentation system and the radiology information system. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation system.","Instruction: You are given a question and a context. Answer the question to your best knowledge.
Question: Describe the functional level and the logical tool level of the following scenario as a 3LGM^2 model.
1. The administrative patient admission takes place with the patient managment sistem. The administrative patient data, represented by the object type ""patient"", are send from the patient managment sistem via the comunications server to the CPOE sistem, the medical documentation sistem and the radiology information sistem. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation sistem.
2. Add one task each of the CPOE sistem, the medical documentation sistem and the radiology information sistem (incl. configuration lines).
3. Add a suitable object type as well as two meaningfull ""updates"" and ""uses"" relationships between object types and tasks.
Context: The administrative patient admission takes place with the patient management system. The administrative patient data, represented by the object type ""patient"", are sent from the patient management system via the communication server to the CPOE system, the medical documentation system and the radiology information system. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation system.
Answer: "
