question;transformed;true_answer;num_answers;source;context
Auf einer Hersteller-Webseite heißt es: „i.s.h.med ist das einzige vollständig in SAP for Healthcare integrierte Krankenhausinformationssystem“. Welches Begriffsverständnis liegt hier zugrunde?;"On a manufacturer's website it says: ""i.s.h.med is the only hospital information system fully integrated in SAP for Healthcare"". What is the underlying understanding of this term?";This manufacturer sees the hospital information system as software product, while in reality a HIS includes Software, Hardware and Actors.;1;IS_2022_07_18;
Look at the functions presented in Sect. 3.3.2. Now imagine a small hospital (e.g., 350 beds) and a large university medical center (e.g., 1500 beds). What are the differences between these hospitals with regard to their functions? Explain your answer.;Imagine a small hospital (e.g., 350 beds) and a large university medical center (e.g., 1500 beds). What are the differences between these hospitals with regard to their functions to be performed by health care professionals and other staff in health care facilities? Explain your answer.;A typical hospital needs all functions to function as expected. The functions to be performed by health care professionals are mostly similar in all health care facilities, independent of their size. Only some functions may differ. For example, not all health care facilities are involved in clinical research, thus their information will not need to support the function research and education.;2;Book;
Wann ist ein Modell gut?;When is a model good in the context of health information systems?;A good models should be able to help understand and predict the behavior of the system or process. It should also be able to help design and evaluate health information systems. A reference architecture can be used to support the design of a proper HIS architecture that meets the various stakeholder concerns of HISs. This architecture should be able to show the HIS from a different angle, suitable for various stakeholders.;3;IS_2022_09_27;
Was hat das Krankenhausinformationssystem mit einer ganzheitlichen Sicht auf den Patienten zu tun?;What does the hospital information system have to do with a holistic view of the patient?;A hospital information system must provide the right information about patients in the right place to the right people at the right time. Ideally, this means that information about the patient is also taken into account holistically across departmental and case boundaries, e.g. for the optimal treatment of multimorbid patients and for the avoidance of side effects that can occur due to known allergies and multimedication and, in the worst case, lead to death. Additional costs, effort and patient treatment due to superfluous multiple examinations are avoided.;2;IS_2022_09_27;
Welche Kommunikation erfolgt unmittelbar nach der Aufnahme des Patienten Alfred Winter?;What communication takes place immediately after the admission of the patient Alfred Winter?;Admission is divided into administrative, mecial and nursing admission. Via the (possibly existing) communication server the changed/newly added infiroations are then broadcasted to related application components such as the patient managements system.;3;IS_2022_09_27;
Look at the functions listed in Sect. 3.3.2. Look at the relationships between the functions and the different health care professional groups (physicians, nurses, administrative staff, others) working in hospitals and medical offices. Select one health care professional group and describe which functions are most important for this group.;Look at the relationships between functions to be performed by health care professionals and other staff in health care facilities and the different health care professional groups (physicians, nurses, administrative staff, others) working in hospitals and medical offices. Select one health care professional group and describe which functions are most important for this group.;Physicians: Important functions are medical admission, decision-making and patient information, planning and organization of patient treatment, order entry, execution of diagnostic and therapeutic procedures, coding of diagnoses and procedures, and medical discharge and medical discharge summary writing. Nurses: Important functions are nursing admission, decision-making and patient information, planning and organization of patient treatment, order entry, execution of nursing procedures, and nursing discharge and nursing discharge summary writing. Administrative staff: Important functions are patient identification, administrative admission, and administrative discharge and billing.;3;Book;
Read Examples 5.5.1 and determine which methods for collecting data (as described in Sects. 5.4.3 and 5.4.4) have been used.;Given the Example in the Context, determine which methods for collecting data have been used.;Study “Unintended Effects of a Computerized Physician Order Entry Nearly Hard-stop Alert”: The effectiveness of a nearly “hard-stop” alert was evaluated in a field study. The data was collected via analysis of the prescriptions in the CPOE systems. The overall data collection method is thus a quantitative observation of available data.;1;Book;"### 5.5.1 Unintended Effects of a Computerized Physician Order Entry Nearly Hard-Stop Alert
The introduction of application systems may have unintended effects.
The careful evaluation of impact and unintended effects of application systems is thus an important task of management of information systems.
We will now have a look at an example of an evaluation study that showed some unintended effects of CPOE systems.
Table 5.1 presents the abstract of an RCT on automatic alerts in a CPOE system.
The authors analyzed whether the so-called hard-stop alert can reduce unwanted drug–drug interactions.
Such a “hard-stop alerts” appears on the screen to alert the physician about potential problems associated with a particular prescription and blocks the clinician’s order from further execution to avert potentially serious reactions.

Table 5.1: Abstract from “Unintended Effects of a Computerized Physician Order Entry Nearly Hard-Stop Alert” [5]
- Background: The effectiveness of CPOE systems has been modest, largely because clinicians frequently override electronic alerts
- Methods: To evaluate the effectiveness of a nearly “hard-stop” CPOE system prescribing alert intended to reduce concomitant orders for warfarin and trimethoprim-sulfamethoxazole, a randomized clinical trial was conducted at two academic medical centers in Philadelphia, Pennsylvania. A total of 1981 clinicians were assigned to either an intervention group receiving a nearly hard-stop alert or a control group receiving the standard practice. The study duration was August 9, 2006, through February 13, 2007
- Results: The proportion of desired responses (i.e., not reordering the alert-triggering drug within 10 min of firing) was 57.2% (111 of 194 hard-stop alerts) in the intervention group and 13.5% (20 of 148) in the control group (adjusted odds ratio, 0.12; 95% confidence interval, 0.045–0.33). However, the study was terminated early because of four unintended consequences identified among patients in the intervention group: a delay of treatment with trimethoprim-sulfamethoxazole in two patients and a delay of treatment with warfarin in another two patients
- Conclusions: An electronic hard-stop alert as part of an inpatient CPOE system seemed to be extremely effective in changing prescribing habits. However, this intervention precipitated clinically important treatment delays in four patients who needed immediate drug therapy. These results illustrate the importance of formal evaluation and monitoring for unintended consequences of programmatic interventions intended to improve prescribing habits

The study was designed as a quantitative, explanatory field study that was conducted as an RCT.
The study found that these alerts can help to reduce the number of alert-triggering orders.
But it also found that the hard-stop alert led to clinically important treatment delays in four patients."
"Read Examples 5.5.2 and determine which methods for collecting data (as described in Sects. 5.4.3 and 5.4.4) have been used.
";Given the Example in the Context, determine which methods for collecting data have been used.;Study “Clinical Decision Support for Worker Health: A Five-Site Qualitative Needs Assessment in Primary Care Setting”: data were collected via interviews and qualitative observations.;1;Book;"### 5.5.2 Clinical Decision Support for Worker Health: A Five-Site Qualitative Needs Assessment in Primary Care Setting
Besides evaluating the effect of an intervention, evaluation may also try to understand reasons for successful or unsuccessful implementation of an application system.
For these kinds of questions, qualitative studies are often chosen.
Table 5.2 presents the abstract of such a qualitative study.
The authors analyzed need, barriers, and facilitators for clinical decision support (CDS) in primary care.
The study was performed as a qualitative, exploratory field study.

Table 5.2: Abstract from “Clinical Decision Support for Worker Health: A Five-Site Qualitative Needs Assessment in Primary Care Settings.” [6]

- Background: Although patients who work and have related health issues are usually first seen in primary care, providers in these settings do not routinely ask questions about work. Guidelines to help manage such patients are rarely used in primary care. Electronic health record systems (EHRS) with worker health CDS tools have potential for assisting these practices
- Objective: This study aimed to identify the need for and barriers and facilitators related to implementation of CDS tools for the clinical management of working patients in a variety of primary care settings
- Methods: We used a qualitative design that included analysis of interview transcripts and observational field notes from 10 clinics in five organizations
- Results: We interviewed 83 providers, staff members, managers, informatics and IT experts, and leaders and spent 35 h observing. We identified eight themes in four categories related to CDS for worker health (operational issues, usefulness of proposed CDS, effort and time-related issues, and topic-specific issues). These categories were classified as facilitators or barriers to the use of the CDS tools. Facilitators related to operational issues include current technical feasibility and new work patterns associated with the coordinated care model. Facilitators concerning usefulness include users’ need for awareness and evidence-based tools, appropriateness of the proposed CDS for their patients, and the benefits of population health data. Barriers that are effort-related include the additional time the proposed CDS might take as well as other pressing organizational priorities. Barriers that are topic-specific include sensitive issues related to health and work and the complexities of information about work
- Conclusion: We discovered several themes not previously described that can guide future CDS development: technical feasibility of the proposed CDS within a commercial electronic health record (EHR), the sensitive nature of some CDS content, and the need to assist the entire health care team in managing worker health

The authors found several factors that may hinder or foster the use of CDS in primary care.
The results of this multi-center study can now be used to implement CDS in commercial application software products for primary care."
In which of the health care settings above will the function medical admission need to be supported?;In which health care settings will the function medical admission need to be supported?;"The function “medical admission” is relevant in several health care and research settings.
It comprises the provision of forms for documenting medical history, documenting diagnoses, and scanning documents from referring physician and other sources of information about the medical history.
It is obvious that this function needs to be supported in hospitals, nursing homes, ambulatory nursing organizations, and medical offices.
Yet it is often also necessary in research settings, for example, when a person is recruited for a clinical trial and their data are entered into an EDC system.
Furthermore, therapeutic offices need this function for documentation purposes, as do rehabilitation facilities and—to a limited extent—wellness or sports facilities.
For personal environments, medical admission also plays a role, especially in telecare situations or when prevention measures are conducted, respectively.";4;Book;
An welcher Stelle im Szenario aus Aufgabe 2 könnte der Dienst „KIM“ aus der Telematikinfrastruktur Abhilfe schaffen?;"At which point in the scenario from the context could the ""KIM"" service from the telematics infrastructure provide a remedy?";Preliminary findings brought in on paper replaced by the KIM service, which provides secure, digital transmission.;1;IS_2022_07_18;"The administrative patient admission is done with the patient management system. The administrative patient data, represented by the object type ""patient"", are sent from the patient management system via the communication server to the CPOE system, the medical documentation system and the laboratory information system. Preliminary findings brought in on paper are scanned during administrative patient admission and stored in the medical documentation system. There also exists the CPOE-System, medical documentation system and the laboratory information system."
